art_regulamento,codigo_ref_script,codigo_verif,rgbeac_ref_script,rgbeac_verif,legislacao_ref_script,erro
ART-23,"Arts. 53.º, 55.º, 56.º, 57.º do Código do Animal (DL 214/2013)",(sem números extraíveis - OK),"Art.º 20.º do RGBEAC (proposta, jun. 2025)",✓ Arts. [20],"DL n.º 82/2019, Art.º 2.º (Estabelece SIAC)",NÃO
ART-24,Análise no Anexo III,(sem correspondência intencional),Análise no Anexo III,(sem correspondência intencional),Análise no Anexo III,NÃO
ART-25,Art.º 55.º do Código do Animal (DL 214/2013),✓ Arts. [55],"Art.º 20.º, nn. 3, 6, 8 do RGBEAC (proposta, jun. 2025)",✓ Arts. [20],"DL n.º 82/2019, Art.º 9.º",NÃO
ART-26,Art.º 62.º do Código do Animal (DL 214/2013),✓ Arts. [62],"Art.º 114.º e Art.º 96.º do RGBEAC (proposta, jun. 2025)","✓ Arts. [96, 114]","DL n.º 82/2019, Art.º 2.º",NÃO
ART-27,Sem equivalência.,(sem correspondência intencional),Sem equivalência,(sem correspondência intencional),Sem equivalência.,NÃO
ART-28,Não se aplica,(sem correspondência intencional),Não se aplica,(sem correspondência intencional),Não se aplica,NÃO
ART-29,Não se aplica,(sem correspondência intencional),Não se aplica,(sem correspondência intencional),Não se aplica,NÃO
ART-30,Não se aplica,(sem correspondência intencional),Não se aplica,(sem correspondência intencional),Não se aplica,NÃO
ART-31,Sem equivalência,(sem correspondência intencional),Sem equivalência,(sem correspondência intencional),Sem equivalência,NÃO
ART-32,Não se aplica,(sem correspondência intencional),Não se aplica,(sem correspondência intencional),Não se aplica,NÃO
ART-33,Não se aplica,(sem correspondência intencional),Não se aplica,(sem correspondência intencional),Não se aplica,NÃO
