art_regulamento,codigo_ref_script,codigo_verif,rgbeac_ref_script,rgbeac_verif,legislacao_ref_script,erro
ART-20,Art.º 53.º do Código do Animal (DL n.º 214/2013),"ERRO: Arts. [214] NÃO encontrados (procurados: [53, 214])","Art.º 17.º do RGBEAC (proposta, jun. 2025)",OK: Arts. [17] encontrados,"DL n.º 82/2019, de 27 de junho",SIM
ART-21,Art.º 24.º e Art.º 62.º do Código do Animal (DL 214/2013),"ERRO: Arts. [24, 214] NÃO encontrados (procurados: [24, 62, 214])","Art.º 91 a 95.º + Art.º 115.º n.º 3 do RGBEAC (proposta, jun. 2025)","ERRO: Arts. [95] NÃO encontrados (procurados: [3, 91, 95, 115])","DL 276/2001, DL 82/2019 - Normas de comercialização",SIM
ART-22,Art. 7.º do Código do Animal (DL 214/2013),"ERRO: Arts. [214] NÃO encontrados (procurados: [7, 214])","Arts. 118.º, 119.º, 120.º, Secção I, do RGBEAC (proposta, jun. 2025)","OK: Arts. [118, 119, 120] encontrados","Decreto-Lei n.º 315/2009, de 29 de outubro,",SIM
ART-23,"Arts. 53.º, 55.º, 56.º, 57.º do Código do Animal (DL 214/2013)","ERRO: Arts. [214] NÃO encontrados (procurados: [53, 55, 56, 57, 214])","Art.º 20.º do RGBEAC (proposta, jun. 2025)",OK: Arts. [20] encontrados,"DL n.º 82/2019, Art.º 2.º (Estabelece SIAC)",SIM
ART-24,Análise no Anexo III,(sem correspondência intencional),Análise no Anexo III,(sem correspondência intencional),Análise no Anexo III,NÃO
ART-25,Art.º 55.º do Código do Animal (DL 214/2013),"ERRO: Arts. [214] NÃO encontrados (procurados: [55, 214])","Art.º 20.º, nn. 3, 6, 8 do RGBEAC (proposta, jun. 2025)","OK: Arts. [3, 6, 8, 20] encontrados","DL n.º 82/2019, Art.º 9.º",SIM
ART-26,Art.º 62.º do Código do Animal (DL 214/2013),"ERRO: Arts. [214] NÃO encontrados (procurados: [62, 214])","Art.º 114.º e Art.º 96.º do RGBEAC (proposta, jun. 2025)","OK: Arts. [96, 114] encontrados","DL n.º 82/2019, Art.º 2.º",SIM
ART-27,Sem equivalência.,(sem correspondência intencional),Sem equivalência,(sem correspondência intencional),Sem equivalência.,NÃO
ART-28,Não se aplica,(sem correspondência intencional),Não se aplica,(sem correspondência intencional),Não se aplica,NÃO
ART-29,Não se aplica,(sem correspondência intencional),Não se aplica,(sem correspondência intencional),Não se aplica,NÃO
ART-30,Não se aplica,(sem correspondência intencional),Não se aplica,(sem correspondência intencional),Não se aplica,NÃO
ART-31,Sem equivalência,(sem correspondência intencional),Sem equivalência,(sem correspondência intencional),Sem equivalência,NÃO
ART-32,Não se aplica,(sem correspondência intencional),Não se aplica,(sem correspondência intencional),Não se aplica,NÃO
ART-33,Não se aplica,(sem correspondência intencional),Não se aplica,(sem correspondência intencional),Não se aplica,NÃO
