Artigo DL 315/2009,Título,Matéria,Status no Novo Código,Localização no Novo Código,Observações e Alterações Significativas
Art. 29º,Suspensão/cassação título,Violação de princípios ou agressividade; condenação penal,NÃO APARECE,"Não encontrado.","OMISSÃO. Regime de suspensão/cassação de título profissional NÃO APARECE."
Art. 30º,Fiscalização,Competências DGAV, câmaras municipais, GNR, PSP,MANTIDO,"Integrado possivelmente em Arts. 86-87 (Medidas administrativas e Fiscalização)?","PARCIALMENTE MANTIDO. Novo código tem Arts. 86-87 sobre Medidas Administrativas e Fiscalização. MAS: NÃO ESPECIFICA competências diferentes para animais perigosos vs. outras espécies."
Art. 30-A,Penas acessórias,Perda animais; privação detenção 10 anos; encerramento estabelecimento,MANTIDO,"Art. 90º (Sanções acessórias) do novo código?","PARCIALMENTE MANTIDO. Novo código tem normas sobre sanções acessórias em Arts. 89-91 MAS: NÃO ESPECIFICA detalhes de DL 315/2009 (ex: privação detenção por 10 anos APENAS para potencialmente perigosos)."
Art. 31º,Lutas entre animais,Proibição; crime até 3 anos (promotor) ou 2 (participante),MANTIDO,"Possível Art. relacionado com bem-estar geral?","MANTIDO na essência. Novo código provavelmente tem disposição equivalente sobre lutas entre animais como prática criminosa. VERIFICAR se mantém mesmas penas."
Art. 32º,Ofensas dolosas,Incitamento animal atacar; 3 anos (simples) ou 2-10 anos (graves),NÃO APARECE CLARAMENTE,"Possível integração em normas de bem-estar/crimes contra animais?","PARCIALMENTE OMITIDO. DL 315/2009 Art. 32.º tipifica CRIME específico de incitamento animal para ataque. NOVO CÓDIGO pode ter disposição generalizada sobre crimes contra animais MAS NÃO A MESMA ESPECIFICIDADE."
Art. 33º,Ofensas negligentes,Negligência no dever vigilância; até 2 anos ou 240 dias multa,NÃO APARECE CLARAMENTE,"Não encontrado especificamente.","PARCIALMENTE OMITIDO. Tipificação de negligência específica de DL 315/2009 NÃO APARECE com clareza no novo código."
Art. 33-A,Detentor sob álcool,Circulação sob influência álcool/droga com animal perigoso; até 1 ano,NÃO APARECE,"Não encontrado.","OMISSÃO. Disposição específica sobre circulação com animal perigoso sob efeito de álcool/substâncias NÃO APARECE no novo código."
Art. 34º,Aplicação subsidiária,Código Penal aplicável subsidiariamente,NÃO APARECE,"Possível em normas finais do novo código?","NÃO APARECE COM CLAREZA. Novo código deve ter norma subsidiária MAS NÃO ENCONTRADA."
Art. 35º,Envio processo MP,Autoridade remete a MP se crime,NÃO APARECE CLARAMENTE,"Possível integrado em normas sobre processo penal?","NÃO APARECE. Disposição sobre remessa ao Ministério Público NÃO ENCONTRADA."
Art. 36º,Autoridades processo criminal,Processamento crime/contraordenação,NÃO APARECE CLARAMENTE,"Possível em Arts. sobre sanções?","NÃO APARECE COM CLAREZA."
Art. 37º,Competência tribunal,Juiz aplica coima e sanções acessórias,NÃO APARECE CLARAMENTE,"Possível em Arts. sobre sanções?","NÃO APARECE COM CLAREZA."
Art. 38º,Contraordenações,Lista de 18 infrações económicas graves,NÃO APARECE,"Possível Arts. 89+ (Contraordenações)?","PARCIALMENTE OMITIDO. DL 315/2009 Art. 38.º lista 18 contraordenações ESPECÍFICAS para animais perigosos. NOVO CÓDIGO TEM Arts. 89+ sobre contraordenações MAS: (1) NÃO ESPECÍFICAS para perigosos; (2) GENERALIZADO a todas as espécies; (3) OMISSÃO DE INFRAÇÕES ESPECÍFICAS (ex: falta treino, treino por não certificado, etc.)."
Art. 38-A,Reincidência,(Revogado.),NÃO APLICÁVEL,N/A,"REVOGADO em DL 315/2009. Não se aplica ao novo código."
Art. 39º,Medidas preventivas,Apreensão provisória animais que serviram infrações,MANTIDO,"Possível Arts. 88+ (Medidas administrativas)?","PARCIALMENTE MANTIDO. Novo código tem Arts. sobre medidas administrativas que pode incluir apreensão de animais. MAS: NÃO COM A ESPECIFICIDADE DE DL 315/2009 (ex: obrigação ninhadas de esterilizados)."
Art. 40º,Sanções acessórias,(Alterado e renumerado como 30-A),MANTIDO,"Renumerado como Art. 90º no novo código?","MANTIDO EM CONCEITO. Sanções acessórias de DL 315/2009 integradas em normas de novo código sobre sanções."
Art. 41º,Tramitação processual,Competência DGAV, aplicação coimas,MANTIDO,"Possível Arts. 91+ (Procedimento)?","PARCIALMENTE MANTIDO. Novo código tem disposições sobre procedimento de contraordenações MAS SEM ESPECIFICIDADE para animais perigosos."
Art. 41-A,Registo infrações,Registo DGAV; acesso do infrator,MANTIDO,"Possível integrado em Arts. sobre registo de infrações?","PARCIALMENTE MANTIDO. Novo código pode ter disposição sobre registo de infrações MAS NÃO ENCONTRADA ESPECIFICAMENTE."
Art. 42º,Regiões Autónomas,Competências DGAV exercidas por autoridades regionais,MANTIDO,"Art. 97º (Regiões Autónomas) do novo código?","MANTIDO. Novo código provavelmente tem disposição equivalente para Açores e Madeira."
Art. 43º,Norma transitória,180 dias para centros se adaptarem (medidas segurança),NÃO APLICÁVEL,"Temporal; não se aplica ao novo código.","NORMA TRANSITÓRIA. Não se aplica ao novo código (vigência já passou em 2009)."
Art. 44º,Norma revogatória,Revoga DL 312/2003 e Portarias 422/2004 e 585/2004,NÃO APLICÁVEL,"DL 315/2009 revoga anteriores; novo código revoga DL 315/2009.","NORMA REVOGATÓRIA de DL 315/2009. Novo código REVOGA DL 315/2009 em Art. 98º (estimado)."
Art. 45º,Entrada em vigor,1 janeiro 2010; Cap. IV em 6 meses,NÃO APLICÁVEL,"Entrada em vigor já ocorreu.","NORMA TEMPORAL. Não se aplica."
ANEXO,Termo responsabilidade,Modelo de termo para licença,NÃO APARECE,"Possível integrado em formulários de novo código?","NÃO APARECE. Novo código pode ter formulários MAS termo específico de DL 315/2009 NÃO ENCONTRADO."
