artigo,titulo,conteudo_resumo,tem_correspondencia,fontes_correspondentes
16,Health,"▌
1.	Operators ▌ shall ensure that:
(a)	dogs or cats for which they are responsible are inspected by animal carers at least once a day and that vulnerable dogs and cats, such as newborns, ill or injured dogs and cats, and peri-partum bitches and queens, are inspected more frequently;
(b)	dogs or cat",False,NENHUMA
17,Behavioural needs,"1.	Operators ▌ shall ensure that measures are taken to meet the behavioural needs of ▌ dogs and cats in accordance with point 4 of Annex I.
2.	In addition, operators shall not keep dogs or cats in areas which limit their natural movements ▌ , except in cases where",False,NENHUMA
18,Painful practices,"1.	Operators shall ensure that mutilations, including ear cropping, tail docking, claw removal or other partial or complete digit amputation, and resection of vocal cords or folds, ▌ are not performed unless justified by medical indications, including where the procedure is prophylactic, with the so",False,NENHUMA
19,"Aesthetic shows, exhibitions and competitions","1.	In aesthetic shows, exhibitions and competitions of dogs and cats, operators of breeding and selling establishments shall not use dogs or cats with excessive conformational traits, or dogs or cats which have been mutilated in a way that alters their physical characteristics.
2.	When organising ae",False,NENHUMA
20,Identification and registration of dogs and cats,"1.	▌All dogs and cats kept in establishments placed on the market or owned by pet owners or by any other natural or legal persons, shall be individually identified by means of a single injectable transponder containing a readable microchip that complies with the requirements set out in Annex II. ▌
2",False,NENHUMA
21,Requirements on online advertising and placing on the market,"1.	When operators advertise a dog or a cat online with a view to placing it on the Union market, they shall ensure that the following warning is included in the advertisement in clearly visible and bold characters: 
“An animal is not a toy. Getting one is a life-changing decision. It is your duty to",False,NENHUMA
22,Training,1.	For the purposes of,False,NENHUMA
23,Databases of dogs and cats,1.	Member States shall be responsible for establishing and maintaining databases for the registration of identified dogs and cats in accordance with,False,NENHUMA
25,Data protection,"1.	The competent authorities of the Member States shall be controllers within the meaning of Regulation (EU) 2016/679 in relation to the processing of personal data collected under Articles 9 and 10 of this Regulation, as well as under",False,NENHUMA
26,Entry of dogs and cats into the Union,"1.	▌Dogs and cats may be brought into the Union for the purpose of being placed on the Union market  only if the following conditions are met: 
(a)	they have been bred and kept in compliance with any of the following requirements:
(i)	the requirements contained in Chapter II of this Regulation;
(ii)",False,NENHUMA
27,Amendment to the Annexes,The Commission is empowered to adopt delegated acts in accordance with,False,NENHUMA
28,Exercise of the delegation,"1.	The power to adopt delegated acts is conferred on the Commission subject to the conditions laid down in this Article.
2.	The power to adopt delegated acts referred to in",False,NENHUMA
29,Article 13,"Advisory welfare visits
1.	Operators ▌ shall:
(a)	ensure that the establishments for which they are responsible receive ▌ a visit by a veterinarian for the purpose of identifying and assessing any risk factor for the welfare of the dogs or cats and advising the operator ▌ on measures to address thos",False,NENHUMA
30,Stricter national rules,"1.	This Regulation shall not prevent Member States from maintaining or adopting stricter national rules aimed at providing more extensive protection of the welfare of dogs and cats kept in establishments, and a greater traceability of dogs and cats, provided that those rules are not inconsistent wit",False,NENHUMA
31,Reporting and evaluation,1.	On the basis of the reports received in accordance with,False,NENHUMA
32,Penalties,"Member States shall lay down the rules on penalties applicable to infringements of this Regulation, including those resulting from the abandonment by operators of dogs and cats, and shall take all measures necessary to ensure that they are implemented. The penalties provided for shall be effective, ",False,NENHUMA
33,Entry into force and application,"This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Union.
It shall apply from ... [▌two years from the date of entry into force of this Regulation]. However,
(i)",False,NENHUMA
